gene_name	chromosome	start	end	length
MT-TF	MT	577	647	71
MT-RNR1	MT	648	1601	954
MT-TV	MT	1602	1670	69
MT-RNR2	MT	1671	3229	1559
MT-TL1	MT	3230	3304	75
MT-ND1	MT	3307	4262	956
MT-TI	MT	4263	4331	69
MT-TQ	MT	4329	4400	72
MT-TM	MT	4402	4469	68
MT-ND2	MT	4470	5511	1042
MT-TW	MT	5512	5579	68
MT-TA	MT	5587	5655	69
MT-TN	MT	5657	5729	73
MT-TC	MT	5761	5826	66
MT-TY	MT	5826	5891	66
MT-CO1	MT	5904	7445	1542
MT-TS1	MT	7446	7514	69
MT-TD	MT	7518	7585	68
MT-CO2	MT	7586	8269	684
MT-TK	MT	8295	8364	70
MT-ATP8	MT	8366	8572	207
MT-ATP6	MT	8527	9207	681
MT-CO3	MT	9207	9990	784
MT-TG	MT	9991	10058	68
MT-ND3	MT	10059	10404	346
MT-TR	MT	10405	10469	65
MT-ND4L	MT	10470	10766	297
MT-ND4	MT	10760	12137	1378
MT-TH	MT	12138	12206	69
MT-TS2	MT	12207	12265	59
MT-TL2	MT	12266	12336	71
MT-ND5	MT	12337	14148	1812
MT-ND6	MT	14149	14673	525
MT-TE	MT	14674	14742	69
MT-CYB	MT	14747	15887	1141
MT-TT	MT	15888	15953	66
MT-TP	MT	15956	16023	68
	KI270711.1	4612	29626	25015
U6	KI270744.1	51009	51114	106
5S_rRNA	KI270442.1	380608	380726	119
	GL000220.1	105287	105376	90
Y_RNA	GL000195.1	37434	37534	101
	KI270734.1	59711	60316	606
	GL000009.2	56140	58376	2237
	GL000219.1	54224	83311	29088
	KI270721.1	52895	53010	116
U2	GL000216.2	93197	93309	113
	GL000213.1	108007	139659	31653
	GL000194.1	53590	115018	61429
RNA5-8SN5	GL000220.1	112025	112177	153
5_8S_rRNA	KI270442.1	217250	217401	152
	GL000195.1	42939	49164	6226
	KI270734.1	138082	161852	23771
	KI270721.1	52666	52734	69
MAFIP	GL000194.1	53594	115055	61462
5_8S_rRNA	GL000220.1	155997	156149	153
	GL000220.1	149259	149348	90
	KI270721.1	2585	11802	9218
	KI270721.1	51722	51792	71
U6	GL000213.1	127840	127946	107
Y_RNA	GL000205.2	93050	93150	101
	KI270734.1	131494	137392	5899
U2	GL000225.1	183252	183364	113
	KI270734.1	72411	74814	2404
	KI270731.1	10598	13001	2404
	KI270731.1	26533	27138	606
	KI270733.1	167218	167307	90
RNA5-8SN4	KI270733.1	128877	129029	153
5_8S_rRNA	KI270733.1	173956	174108	153
	KI270733.1	122136	122225	90
	KI270726.1	41444	41876	433
	KI270726.1	26241	26534	294
U1	KI270750.1	148668	148843	176
RPL23AP45	HG1046_PATCH	23142	23609	468
	GL000218.1	51867	54893	3027
	KI270727.1	20741	22392	1652
U1	KI270713.1	30437	30580	144
U6	KI270727.1	34890	34996	107
	KI270713.1	35407	35916	510
	KI270727.1	372322	373405	1084
	KI270713.1	31698	32528	831
U1	KI270713.1	21861	22024	164
	KI270727.1	386278	387620	1343
	KI270727.1	417283	418206	924
	KI270727.1	136160	167571	31412
U6	KI270727.1	156089	156195	107
Y_RNA	HG1311_HG2539_PATCH	5898	5995	98
RNU6-409P	HG1311_HG2539_PATCH	27174	27277	104
ACR	HG1311_HG2539_PATCH	74316	81453	7138
	HG1311_HG2539_PATCH	76713	79634	2922
	HG1311_HG2539_PATCH	90790	91549	760
SHANK3	HG1311_HG2539_PATCH	8917	69331	60415
	KI270728.1	17234	19833	2600
	KI270728.1	1139577	1147868	8292
	KI270728.1	933862	936467	2606
	KI270728.1	1109945	1110235	291
	KI270728.1	137798	139135	1338
	KI270728.1	1270984	1271271	288
	HG1369_PATCH	16910	28852	11943
	HG1369_PATCH	42053	42404	352
	HG1369_PATCH	42764	44957	2194
	HG1369_PATCH	50247	51782	1536
MIR4740	HG1369_PATCH	55354	55416	63
MIR3186	HG1369_PATCH	107309	107393	85
	HG1369_PATCH	117218	118142	925
LINC01971	HG1369_PATCH	136728	137775	1048
	HG1369_PATCH	170252	183981	13730
ACTG1	HG1369_PATCH	165618	180052	14435
	HG1298_PATCH	16444	18780	2337
HMX1	HG1298_PATCH	98859	124622	25764
	HG1298_PATCH	111498	113610	2113
BAHCC1	HG1369_PATCH	50095	122536	72442
	HG1369_PATCH	137857	138948	1092
	HG1369_PATCH	171267	172617	1351
	HG1369_PATCH	46943	48002	1060
LINC03048	HG1369_PATCH	29782	40102	10321
	HG1309_PATCH	46660	71371	24712
	HG1309_PATCH	52726	56866	4141
	HG1309_PATCH	90874	107722	16849
LINC03015	HG1309_PATCH	111541	125215	13675
LINC03014	HG1309_PATCH	125237	131153	5917
	HG1309_PATCH	137453	140660	3208
	HG1309_PATCH	150608	151701	1094
	HG1309_PATCH	158623	169868	11246
FAM20C	HG1309_PATCH	168259	235989	67731
	HG1309_PATCH	203242	205245	2004
	HG1309_PATCH	238026	238462	437
NAA50P1	HG142_HG150_NOVEL_TEST	15874	16374	501
OR8J2	HG142_HG150_NOVEL_TEST	21622	22569	948
OR5T2	HG142_HG150_NOVEL_TEST	42855	43934	1080
OR5T3	HG142_HG150_NOVEL_TEST	62949	63971	1023
OR5T1	HG142_HG150_NOVEL_TEST	86388	87368	981
OR8H1	HG142_HG150_NOVEL_TEST	100802	101839	1038
OR8I1P	HG142_HG150_NOVEL_TEST	107290	108220	931
OR8K3	HG142_HG150_NOVEL_TEST	129056	129994	939
FAM8A2P	HG142_HG150_NOVEL_TEST	142096	143237	1142
OR8K2P	HG142_HG150_NOVEL_TEST	145891	146817	927
OR8K1	HG142_HG150_NOVEL_TEST	156788	157747	960
RPL5P29	HG142_HG150_NOVEL_TEST	168077	168970	894
OR8J1	HG142_HG150_NOVEL_TEST	170964	172037	1074
OR8U8	HG142_HG150_NOVEL_TEST	186374	187333	960
OR8U9	HG142_HG150_NOVEL_TEST	193979	194908	930
OR8L1P	HG142_HG150_NOVEL_TEST	199990	200944	955
GCGR	HG1320_PATCH	17625	27501	9877
MCRIP1	HG1320_PATCH	35854	46795	10942
	HG1485_PATCH	7682	21171	13490
U6	HG1485_PATCH	16980	17085	106
ABCD1P4	HG1485_PATCH	359700	362893	3194
	HG1485_PATCH	377336	377423	88
PABPC1P9	HG1485_PATCH	395949	398037	2089
SLC9B1P4	HG1485_PATCH	400953	448876	47924
ACTR3BP6	HG1485_PATCH	458991	460328	1338
PPP1R27	HG1320_PATCH	46985	48543	1559
